category,href,num_jobs,date
Informations- und Kommunikationstechnologie,/projekte/IT-Entwicklung-Projekte,2078,2025-03-18
Softwareentwicklung / -programmierung,/projekte/IT-Entwicklung-Projekte/Softwareentwicklung-Softwareprogrammierung-Projekte,485,2025-03-18
Berater und Spezialisten,/projekte/IT-Entwicklung-Projekte/Berater-Und-Spezialisten-Projekte,452,2025-03-18
SAP,/projekte/IT-Entwicklung-Projekte/SAP-Projekte,415,2025-03-18
Web,/projekte/IT-Entwicklung-Projekte/Web-Projekte,277,2025-03-18
Programmierer,/projekte/IT-Entwicklung-Projekte/Programmierer-Projekte,225,2025-03-18
Systementwickler und -analytiker,/projekte/IT-Entwicklung-Projekte/Systementwickler-Und-analytiker-Projekte,214,2025-03-18
Weitere IT-Qualifikationen,/projekte/IT-Entwicklung-Projekte/Weitere-IT-Qualifikationen-Projekte,207,2025-03-18
IT-Koordinatoren,/projekte/IT-Entwicklung-Projekte/It-koordinatoren-Projekte,206,2025-03-18
System Architektur / Analyse,/projekte/IT-Entwicklung-Projekte/Systemarchitektur-Systemanalyse-Projekte,197,2025-03-18
ERP / CRM Systeme,/projekte/IT-Entwicklung-Projekte/ERP-CRM-Systeme-Projekte,163,2025-03-18
Qualitätsmanagement / Testing,/projekte/IT-Entwicklung-Projekte/Qualitaetsmanagement-Testing-Projekte,153,2025-03-18
Datenbanken,/projekte/IT-Entwicklung-Projekte/Datenbanken-Projekte,152,2025-03-18
Projektleitung / -management,/projekte/IT-Entwicklung-Projekte/Projektleitung-Projektmanagement-IT-Projekte,148,2025-03-18
Virtualisierung,/projekte/IT-Entwicklung-Projekte/Virtualisierung-Projekte,146,2025-03-18
IT Sicherheit,/projekte/IT-Entwicklung-Projekte/IT-Sicherheit-Projekte,133,2025-03-18
System- und Anwendungsadministratoren,/projekte/IT-Entwicklung-Projekte/Plattformen-Betriebssysteme-Projekte,132,2025-03-18
Datenbankspezialisten,/projekte/IT-Entwicklung-Projekte/Datenbankspezialisten-Projekte,129,2025-03-18
DevOps,/projekte/IT-Entwicklung-Projekte/DevOps-Projekte,126,2025-03-18
Leitende Angestelle IT,/projekte/IT-Entwicklung-Projekte/Leitende-Angestelle-It-Projekte,113,2025-03-18
Software Architektur / Analyse,/projekte/IT-Entwicklung-Projekte/Softwarearchitektur-Softwareanalyse-Projekte,108,2025-03-18
Business Intelligence,/projekte/IT-Entwicklung-Projekte/Business-Intelligence-Projekte,103,2025-03-18
IT R&D Professionals,/projekte/IT-Entwicklung-Projekte/It-R-d-Professionals-Projekte,96,2025-03-18
Informations- und Kommunikationstechnologie,/projekte/IT-Entwicklung-Projekte/Informations-Und-Kommunikationstechnologie-sonstige-Projekte,87,2025-03-18
Telekommunikation / Netzwerke,/projekte/IT-Entwicklung-Projekte/Telekommunikation-Netzwerke-Projekte,84,2025-03-18
"Ingenieure, Konstrukteure und Techniker Elektronik",/projekte/IT-Entwicklung-Projekte/Sonstige-Berufe-Projekte,82,2025-03-18
Systemadministration,/projekte/IT-Entwicklung-Projekte/Systemadministration-Projekte,77,2025-03-18
Serveradministration,/projekte/IT-Entwicklung-Projekte/Serveradministration-Projekte,64,2025-03-18
Mitarbeiter Support,/projekte/IT-Entwicklung-Projekte/Incidentmanagement-Servicemanagement-ITIL-Projekte,58,2025-03-18
Web Professionals,/projekte/IT-Entwicklung-Projekte/Web-Professionals-Projekte,55,2025-03-18
Netzwerkspezialisten,/projekte/IT-Entwicklung-Projekte/Netzwerkspezialisten-Projekte,48,2025-03-18
User Interface / User Experience,/projekte/IT-Entwicklung-Projekte/User-Interface-User-Experience-Projekte,35,2025-03-18
Hardware-Entwicklung / Engineering,/projekte/IT-Entwicklung-Projekte/Hardware-Entwicklung-Engineering-Projekte,33,2025-03-18
Support / Techniker,/projekte/IT-Entwicklung-Projekte/Support-Techniker-Projekte,29,2025-03-18
Maschinelles Lernen,/projekte/IT-Entwicklung-Projekte/Maschinelles-Lernen-Projekte,22,2025-03-18
IT Testers,/projekte/IT-Entwicklung-Projekte/It-Testers-Projekte,7,2025-03-18
Softwarepaketierung / Verteilung,/projekte/IT-Entwicklung-Projekte/Softwarepaketierung-Verteilung-Projekte,4,2025-03-18
Blockchain,/projekte/IT-Entwicklung-Projekte/Blockchain-Projekte,4,2025-03-18
Shopify,/projekte/IT-Entwicklung-Projekte/Shopify-Projekte,4,2025-03-18
Natural Language Processing,/projekte/IT-Entwicklung-Projekte/Natural-Language-Processing-Projekte,1,2025-03-18
Weniger,,0,2025-03-18
Ingenieurwesen,/projekte/Technik-Ingenieurwesen-Projekte,1249,2025-03-18
Techniker Installation und Wartung elektrischer Geräte,/projekte/Technik-Ingenieurwesen-Projekte/Elektrotechnik-Elektronik-Projekte,208,2025-03-18
Management,/projekte/Technik-Ingenieurwesen-Projekte/Projektleitung-Projektmanagement-PMO-Projekte,192,2025-03-18
Kalkulatoren und Planer technischer Arbeiten,/projekte/Technik-Ingenieurwesen-Projekte/Kalkulatoren-Und-Planer-Technischer-Arbeiten-Projekte,126,2025-03-18
Bauingenieurwesen,/projekte/Technik-Ingenieurwesen-Projekte/Bauingenieurwesen-Projekte,125,2025-03-18
Betriebsingenieure und Experten,/projekte/Technik-Ingenieurwesen-Projekte/Sonstige-Berufe-Projekte,125,2025-03-18
Maschinen- / Anlagenbau,/projekte/Technik-Ingenieurwesen-Projekte/Maschinenbau-Anlagenbau-Projekte,84,2025-03-18
Produktionstechnik,/projekte/Technik-Ingenieurwesen-Projekte/Produktionstechnik-Projekte,84,2025-03-18
Technisches Zeichnen / CAD / CAE,/projekte/Technik-Ingenieurwesen-Projekte/Technisches-Zeichnen-CAD-CAE-Projekte,80,2025-03-18
Versorgungstechnik,/projekte/Technik-Ingenieurwesen-Projekte/Versorgungstechnik-Projekte,73,2025-03-18
Qualitätsmanagement / Testing,/projekte/Technik-Ingenieurwesen-Projekte/Qualitaetsmanagement-Projekte,71,2025-03-18
Mess- / Regelungstechnik,/projekte/Technik-Ingenieurwesen-Projekte/Messtechnik-Regelungstechnik-Projekte,69,2025-03-18
Sicherheitstechnik,/projekte/Technik-Ingenieurwesen-Projekte/Sicherheitstechnik-Projekte,69,2025-03-18
Automatisierungstechnik,/projekte/Technik-Ingenieurwesen-Projekte/Automatisierungstechnik-Projekte,64,2025-03-18
"Ingenieure, Konstrukteure und Techniker im Maschinenbau",/projekte/Technik-Ingenieurwesen-Projekte/Ingenieure-Konstrukteure-Und-Techniker-Im-Maschinenbau-Projekte,63,2025-03-18
Installateure und Klempner,/projekte/Technik-Ingenieurwesen-Projekte/Weitere-technische-Projekte,49,2025-03-18
"Ingenieure, Konstrukteure und Techniker Chemie",/projekte/Technik-Ingenieurwesen-Projekte/Ingenieure-Konstrukteure-Und-Techniker-Chemie-Projekte,47,2025-03-18
Handwerk,/projekte/Technik-Ingenieurwesen-Projekte/Handwerk-Projekte,42,2025-03-18
Installation / Montage / Wartung,/projekte/Technik-Ingenieurwesen-Projekte/Installation-Montage-Wartung-Projekte,37,2025-03-18
Fahrzeugbau / -technik,/projekte/Technik-Ingenieurwesen-Projekte/Fahrzeugbau-Fahrzeugtechnik-Projekte,33,2025-03-18
Funk- / Nachrichtentechnik,/projekte/Technik-Ingenieurwesen-Projekte/Funktechnik-Nachrichtentechnik-Projekte,33,2025-03-18
Reinigung und Wartung,/projekte/Technik-Ingenieurwesen-Projekte/Energietechnik-Projekte,32,2025-03-18
Architektur,/projekte/Technik-Ingenieurwesen-Projekte/Architektur-Projekte,31,2025-03-18
Engineering Managers / Konstruktionsleiter,/projekte/Technik-Ingenieurwesen-Projekte/Engineering-Managers-Konstruktionsleiter-Projekte,26,2025-03-18
Umwelttechnik,/projekte/Technik-Ingenieurwesen-Projekte/Umwelttechnik-Projekte,25,2025-03-18
"Konstrukteure, Bauherren und Installateure",/projekte/Technik-Ingenieurwesen-Projekte/Sonstige-Berufe-Projekte,25,2025-03-18
"Ingenieure, Konstrukteure und Techniker im Tief- und Wasserbau",/projekte/Technik-Ingenieurwesen-Projekte/Ingenieure-Konstrukteure-Und-Techniker-Im-Tief-Und-Wasserbau-Projekte,23,2025-03-18
Fertigungstechnik,/projekte/Technik-Ingenieurwesen-Projekte/Fertigungstechnik-Projekte,21,2025-03-18
Konstruktionstechnik,/projekte/Technik-Ingenieurwesen-Projekte/Konstruktionstechnik-Projekte,20,2025-03-18
Verfahrenstechnik,/projekte/Technik-Ingenieurwesen-Projekte/Verfahrenstechnik-Projekte,20,2025-03-18
"Ingenieure, Konstrukteure und Techniker im Bauwesen",/projekte/Technik-Ingenieurwesen-Projekte/Ingenieure-Konstrukteure-Und-Techniker-Im-Bauwesen-Projekte,18,2025-03-18
Maschinenmechaniker,/projekte/Technik-Ingenieurwesen-Projekte/Sonstige-Berufe-Projekte,16,2025-03-18
Mechatronik,/projekte/Technik-Ingenieurwesen-Projekte/Mechatronik-Projekte,15,2025-03-18
Material- und Prozesstechnologen,/projekte/Technik-Ingenieurwesen-Projekte/Sonstige-Berufe-Projekte,13,2025-03-18
Mitarbeiter im Textilbereich,/projekte/Technik-Ingenieurwesen-Projekte/Sonstige-Berufe-Projekte,12,2025-03-18
Prüftechnik,/projekte/Technik-Ingenieurwesen-Projekte/Prueftechnik-Projekte,10,2025-03-18
Robotik / Robotertechnik,/projekte/Technik-Ingenieurwesen-Projekte/Robotik-Robotertechnik-Projekte,9,2025-03-18
Zeichner und Konstrukteure im Maschinenbau,/projekte/Technik-Ingenieurwesen-Projekte/Zeichner-Und-Konstrukteure-Im-Maschinenbau-Projekte,8,2025-03-18
Zeichner und Konstrukteure im Bauwesen,/projekte/Technik-Ingenieurwesen-Projekte/Zeichner-Und-Konstrukteure-Im-Bauwesen-Projekte,6,2025-03-18
Schweißer und Löter,/projekte/Technik-Ingenieurwesen-Projekte/Sonstige-Berufe-Projekte,6,2025-03-18
Technische Zeichner/Systemplaner und Konstrukteure Elektro,/projekte/Technik-Ingenieurwesen-Projekte/Technische-Zeichner-systemplaner-Und-Konstrukteure-Elektro-Projekte,3,2025-03-18
Vermessungstechniker und Kartografen,/projekte/Technik-Ingenieurwesen-Projekte/Vermessungstechniker-Und-Kartografen-Projekte,1,2025-03-18
Ingenieurwesen,/projekte/Technik-Ingenieurwesen-Projekte/Ingenieurwesen-sonstige-Projekte,1,2025-03-18
Weniger,,0,2025-03-18
Verwaltung,/projekte/Management-Unternehmen-Strategie-Projekte,712,2025-03-18
Projektleitung / -management / PMO,/projekte/Management-Unternehmen-Strategie-Projekte/Projektleitung-Projektmanagement-PMO-Projekte,230,2025-03-18
Managementanalytiker und -berater,/projekte/Management-Unternehmen-Strategie-Projekte/Sonstige-Berufe-Projekte,123,2025-03-18
Management,/projekte/Management-Unternehmen-Strategie-Projekte/Management-Projekte,104,2025-03-18
Kaufmännische Angestellte und Telemarketing Mitarbeiter,/projekte/Management-Unternehmen-Strategie-Projekte/Weitere-organisatorische-Projekte,62,2025-03-18
Qualitätsmanagement,/projekte/Management-Unternehmen-Strategie-Projekte/Qualitaetsmanagement-Projekte,60,2025-03-18
Behördenleiter,/projekte/Management-Unternehmen-Strategie-Projekte/Beh%C3%B6rdenleiter-Projekte,54,2025-03-18
"Management, Verwaltung und Politik",/projekte/Management-Unternehmen-Strategie-Projekte/Sonstige-Berufe-Projekte,51,2025-03-18
Strategie,/projekte/Management-Unternehmen-Strategie-Projekte/Strategie-Projekte,38,2025-03-18
Schreibkräfte,/projekte/Management-Unternehmen-Strategie-Projekte/Sonstige-Berufe-Projekte,38,2025-03-18
Personalwesen,/projekte/Management-Unternehmen-Strategie-Projekte/Personalwesen-Projekte,28,2025-03-18
Generaldirektoren,/projekte/Management-Unternehmen-Strategie-Projekte/Generaldirektoren-Projekte,15,2025-03-18
Manager Betriebsverwaltung und -politik,/projekte/Management-Unternehmen-Strategie-Projekte/Manager-Betriebsverwaltung-Und-politik-Projekte,11,2025-03-18
"Gesetzgeber, Volksvertreter",/projekte/Management-Unternehmen-Strategie-Projekte/Gesetzgeber-Volksvertreter-Projekte,10,2025-03-18
Behördenmitarbeiter,/projekte/Management-Unternehmen-Strategie-Projekte/Beh%C3%B6rdenmitarbeiter-Projekte,9,2025-03-18
Sekretärinnen,/projekte/Management-Unternehmen-Strategie-Projekte/Sonstige-Berufe-Projekte,7,2025-03-18
Weniger,,0,2025-03-18
Versicherungen und Finanzen,/projekte/Finanzen-Versicherung-Recht-Projekte,367,2025-03-18
Rechnungswesen,/projekte/Finanzen-Versicherung-Recht-Projekte/Rechnungswesen-Projekte,146,2025-03-18
Wirtschaftsprüfer / Buchhalter / Steuerberater,/projekte/Finanzen-Versicherung-Recht-Projekte/Wirtschaftspr%C3%BCfer-Buchhalter-Steuerberater-Projekte,73,2025-03-18
Manager Versicherungen und Finanzen,/projekte/Finanzen-Versicherung-Recht-Projekte/Manager-Versicherungen-Und-Finanzen-Projekte,70,2025-03-18
Finanzwesen,/projekte/Finanzen-Versicherung-Recht-Projekte/Finanzwesen-Projekte,45,2025-03-18
Mitarbeiter Versicherungen und Finanzen,/projekte/Finanzen-Versicherung-Recht-Projekte/Sonstige-Berufe-Projekte,39,2025-03-18
Finanzexperten,/projekte/Finanzen-Versicherung-Recht-Projekte/Finanzexperten-Projekte,23,2025-03-18
Rechtswesen,/projekte/Finanzen-Versicherung-Recht-Projekte/Rechtswesen-Projekte,20,2025-03-18
Mitarbeiter Bankfiliale,/projekte/Finanzen-Versicherung-Recht-Projekte/Mitarbeiter-Bankfiliale-Projekte,16,2025-03-18
Ökonomen / Wirtschaftsexperten,/projekte/Finanzen-Versicherung-Recht-Projekte/Sonstige-Berufe-Projekte,15,2025-03-18
Berater Versicherungen und Finanzen,/projekte/Finanzen-Versicherung-Recht-Projekte/Berater-Versicherungen-Und-Finanzen-Projekte,4,2025-03-18
Versicherungen,/projekte/Finanzen-Versicherung-Recht-Projekte/Versicherungen-Projekte,3,2025-03-18
Versicherungsexperten,/projekte/Finanzen-Versicherung-Recht-Projekte/Versicherungsexperten-Projekte,2,2025-03-18
Finanzdirektoren,/projekte/Finanzen-Versicherung-Recht-Projekte/Finanzdirektoren-Projekte,1,2025-03-18
Weniger,,0,2025-03-18
Administration und Kundenbetreuung,/projekte/Administration-Und-Kundenbetreuung-Projekte,347,2025-03-18
Leiter Administration und Kundenservice,/projekte/Administration-Und-Kundenbetreuung-Projekte/Leiter-Administration-Und-Kundenservice-Projekte,112,2025-03-18
Mitarbeiter Finanzen und Verwaltung,/projekte/Administration-Und-Kundenbetreuung-Projekte/Mitarbeiter-Finanzen-Und-Verwaltung-Projekte,97,2025-03-18
Planer / Koordinatoren,/projekte/Administration-Und-Kundenbetreuung-Projekte/Planer-/-Koordinatoren-Projekte,84,2025-03-18
Mitarbeiter Verwaltung,/projekte/Administration-Und-Kundenbetreuung-Projekte/Mitarbeiter-Verwaltung-Projekte,78,2025-03-18
Administration und Kundenbetreuung,/projekte/Administration-Und-Kundenbetreuung-Projekte/Administration-Und-Kundenbetreuung-sonstige-Projekte,34,2025-03-18
Zeitplanersteller und Diensteinteiler,/projekte/Administration-Und-Kundenbetreuung-Projekte/Zeitplanersteller-Und-Diensteinteiler-Projekte,8,2025-03-18
Rezeptionisten,/projekte/Administration-Und-Kundenbetreuung-Projekte/Rezeptionisten-Projekte,1,2025-03-18
Telefonisten und Ansager,/projekte/Administration-Und-Kundenbetreuung-Projekte/Telefonisten-Und-Ansager-Projekte,1,2025-03-18
"Recht, Personalwirtschaft und Sozialwesen",/projekte/Sprachen-Dienstleistung-Soziales-Projekte,344,2025-03-18
Juristen,/projekte/Sprachen-Dienstleistung-Soziales-Projekte/Sonstige-Berufe-Projekte,229,2025-03-18
Training / Schulung / Coaching,/projekte/Sprachen-Dienstleistung-Soziales-Projekte/Training-Schulung-Coaching-Projekte,50,2025-03-18
Personal- und Arbeitsmarktexperten,/projekte/Sprachen-Dienstleistung-Soziales-Projekte/Personal-Und-Arbeitsmarktexperten-Projekte,34,2025-03-18
Kursleiter und Ausbilder,/projekte/Sprachen-Dienstleistung-Soziales-Projekte/Sonstige-Berufe-Projekte,28,2025-03-18
Dienstleistung,/projekte/Sprachen-Dienstleistung-Soziales-Projekte/Dienstleistung-Projekte,19,2025-03-18
Sprache / Übersetzung,/projekte/Sprachen-Dienstleistung-Soziales-Projekte/Sprache-Uebersetzung-Projekte,4,2025-03-18
Arbeits- und Einkommensspezialisten öffentlicher Sektor,/projekte/Sprachen-Dienstleistung-Soziales-Projekte/Arbeits-Und-Einkommensspezialisten-%C3%B6ffentlicher-Sektor-Projekte,3,2025-03-18
Arbeitsschutzexperten und -inspektoren,/projekte/Sprachen-Dienstleistung-Soziales-Projekte/Arbeitsschutzexperten-Und-inspektoren-Projekte,2,2025-03-18
Sozial-gesellschaftliche Arbeiter,/projekte/Sprachen-Dienstleistung-Soziales-Projekte/Sozial-gesellschaftliche-Arbeiter-Projekte,2,2025-03-18
Anwälte und unterstützendes Personal,/projekte/Sprachen-Dienstleistung-Soziales-Projekte/Anw%C3%A4lte-Und-Unterst%C3%BCtzendes-Personal-Projekte,1,2025-03-18
Weniger,,0,2025-03-18
Bauwesen und Bergbau,/projekte/Bauwesen-Und-Bergbau-Projekte,324,2025-03-18
Subunternehmer Bauwesen,/projekte/Bauwesen-Und-Bergbau-Projekte/Subunternehmer-Bauwesen-Projekte,114,2025-03-18
Bohrarbeitenaufseher / Bohrarbeitenprüfer,/projekte/Bauwesen-Und-Bergbau-Projekte/Bohrarbeitenaufseher-/-Bohrarbeitenpr%C3%BCfer-Projekte,72,2025-03-18
Projektleiter Bau,/projekte/Bauwesen-Und-Bergbau-Projekte/Projektleiter-Bau-Projekte,57,2025-03-18
Manager Bau und Rohstoffgewinnung,/projekte/Bauwesen-Und-Bergbau-Projekte/Manager-Bau-Und-Rohstoffgewinnung-Projekte,48,2025-03-18
Finisher Bau,/projekte/Bauwesen-Und-Bergbau-Projekte/Finisher-Bau-Projekte,45,2025-03-18
Subunternehmer und Projektleiter im Tief- und Wasserbau,/projekte/Bauwesen-Und-Bergbau-Projekte/Subunternehmer-Und-Projektleiter-Im-Tief-Und-Wasserbau-Projekte,39,2025-03-18
Straßenbauer,/projekte/Bauwesen-Und-Bergbau-Projekte/Strassenbauer-Projekte,37,2025-03-18
Bauwesen und Bergbau,/projekte/Bauwesen-Und-Bergbau-Projekte/Bauwesen-Und-Bergbau-sonstige-Projekte,13,2025-03-18
